id,key,value,type
219850,ref,276C,regular
219850,exit_to,Joliet Road,regular
219850,highway,motorway_junction,regular
20217109,source,PGS,regular
20217240,source,PGS,regular
20217404,source,PGS,regular
20217463,source,PGS,regular
25611688,highway,traffic_signals,regular
25676375,highway,traffic_signals,regular
25768178,created_by,JOSM,regular
26218694,curve_geometry,yes,regular
26524728,highway,traffic_signals,regular
26606025,created_by,YahooApplet 1.0,regular
26606145,created_by,YahooApplet 1.0,regular
26606202,created_by,YahooApplet 1.0,regular
26620342,created_by,JOSM,regular
26638015,created_by,YahooApplet 1.0,regular
26638141,created_by,YahooApplet 1.0,regular
26661911,created_by,YahooApplet 1.0,regular
26683723,noref,yes,regular
26683723,exit_to,Bessie Coleman Dr,regular
26683723,highway,motorway_junction,regular
26703626,curve_geometry,yes,regular
26704163,ref,47B,regular
26704163,highway,motorway_junction,regular
26704188,ref,45B,regular
26704188,highway,motorway_junction,regular
26749765,railway,level_crossing,regular
26756685,created_by,YahooApplet 1.0,regular
26760117,created_by,YahooApplet 1.0,regular
26794007,curve_geometry,yes,regular
26794549,highway,traffic_signals,regular
26817933,crossing,traffic_signals,regular
26817933,highway,crossing,regular
26822192,created_by,YahooApplet 1.0,regular
26994268,created_by,YahooApplet 1.0,regular
27198416,created_by,JOSM,regular
27198457,created_by,JOSM,regular
27315581,created_by,YahooApplet 1.0,regular
27340296,created_by,YahooApplet 1.0,regular
27340745,amenity,parking,regular
27340745,created_by,YahooApplet 1.0,regular
27440201,name,La Grange Stone Avenue,regular
27440201,railway,station,regular
27440201,operator,Metra,regular
27440201,platforms,2,regular
27440224,highway,traffic_signals,regular
27446708,highway,traffic_signals,regular
27596458,ref,248,regular
27596458,exit_to,US 6; Joliet; Morris,regular
27596458,highway,motorway_junction,regular
27606716,highway,crossing,regular
27607230,name,Kedzie,regular
27607230,subway,yes,regular
27607230,public_transport,stop_position,regular
27650057,created_by,YahooApplet 1.0,regular
27650077,ref,261,regular
27650077,highway,motorway_junction,regular
28289299,highway,traffic_signals,regular
28358991,highway,traffic_signals,regular
29053390,ref,33,regular
29053390,name,Irving Park Toll Plaza,regular
29053390,barrier,toll_booth,regular
29053390,operator,Illinois State Toll Highway Authority,regular
29053623,created_by,JOSM,regular
29174123,created_by,JOSM,regular
29412132,highway,traffic_signals,regular
29769782,highway,turning_circle,regular
29785979,curve_geometry,yes,regular
29786106,highway,traffic_signals,regular
29885149,created_by,JOSM,regular
30561069,created_by,JOSM,regular
33718424,highway,traffic_signals,regular
35313351,highway,traffic_signals,regular
48989844,highway,traffic_signals,regular
102680962,highway,traffic_signals,regular
102856037,curve_geometry,yes,regular
104496439,highway,traffic_signals,regular
110980959,ref,1D,regular
110980959,highway,motorway_junction,regular
111016194,name,Terminal 2,regular
111016194,railway,station,regular
111016194,operator,O'Hare ATS,regular
153043130,highway,traffic_signals,regular
153346757,ele,271,regular
153346757,name,The Landings,regular
153346757,is_in,"Kane,Illinois,Ill.,IL,USA",regular
153346757,place,hamlet,regular
153346757,id,1816404,gnis
153346757,gnis:Class,Populated Place,regular
153346757,gnis:County,Kane,regular
153346757,gnis:ST_num,17,regular
153346757,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153346757,gnis:ST_alpha,IL,regular
153346757,gnis:County_num,089,regular
153361299,ele,179,regular
153361299,name,Gold Coast,regular
153361299,is_in,"Cook,Illinois,Ill.,IL,USA",regular
153361299,place,neighbourhood,regular
153361299,id,1772785,gnis
153361299,gnis:Class,Populated Place,regular
153361299,gnis:County,Cook,regular
153361299,gnis:ST_num,17,regular
153361299,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153361299,gnis:ST_alpha,IL,regular
153361299,gnis:County_num,031,regular
153371299,ele,205,regular
153371299,name,Highmoor,regular
153371299,is_in,"Lake,Illinois,Ill.,IL,USA",regular
153371299,place,hamlet,regular
153371299,id,410241,gnis
153371299,gnis:Class,Populated Place,regular
153371299,gnis:County,Lake,regular
153371299,gnis:ST_num,17,regular
153371299,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
153371299,gnis:ST_alpha,IL,regular
153371299,gnis:County_num,097,regular
153381015,ele,163,regular
153381015,name,Ridgecrest,regular
